PID,TdValue,Smiles
P164458,577,*c1nc2c(nc1c1cc3c(cc1)cccc3)cc(cc2)c1cc2c(nc(c(n2)c2ccc(cc2)*)c2cc3c(cc2)cccc3)cc1
P164459,564,*c1nc2c(nc1c1cc3c(cc1)cccc3)cc(cc2)c1cc2c(nc(c(n2)c2cc(ccc2)*)c2cc3c(cc2)cccc3)cc1
P170006,585,*[Si](C*)(C)C
P170031,356.5,*O[Si](*)(C)C
P170044,470,*O[Si](c1cc(ccc1)C(C(c1cc(ccc1)[Si](*)(C)C)(F)F)(F)F)(C)C
P170045,465,*O[Si](c1cc(ccc1)C(C(C(c1cc(ccc1)[Si](*)(C)C)(F)F)(F)F)(F)F)(C)C
P170064,411,*O[Si](c1ccc(cc1)[Si](*)(C)C)(C)C
P180012,395,*N=P(*)(Oc1ccccc1)Oc1ccccc1
P200011,375,*OS(=O)(=O)c1ccc(cc1)*
P210001,462.5,*c1ccc(cc1)*
P210003,451,*c1ccc(cc1)C(*)C
P210006,310,*c1ccc(cc1)CC*
P210007,390,*c1cc(ccc1)CC*
P210026,360,*c1cc(ccc1)*
P210045,450,*c1cc(ccc1)C(C(C(*)(F)F)(F)F)(F)F
P214568,470,*c1c(cc(cc1)*)O
P322058,416,*C(C*)c1ccc(cc1)Cn1c2ccccc2c2ccccc12
P322090,396,*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OC)C(=O)Oc1ccc(cc1)OC
P322112,406,*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCC)C(=O)Oc1ccc(cc1)OCCCC
P322128,333,*C(C*)c1ccc(cc1)N(c1ccccc1)c1ccccc1
P322146,331.7,*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC(CC)C)c1ccc(cc1)C(=O)OC(CC)C
P322147,324.6,*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC(CCCCCC)C)c1ccc(cc1)C(=O)OC(CCCCCC)C
P322148,319,*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC1C(CCC(C1)C)C(C)C)c1ccc(cc1)C(=O)OC1C(CCC(C1)C)C(C)C
P322161,392,*C(C*)c1c(ccc(c1)C(=O)OC)c1ccc(cc1)OCCCCCCCC
P322162,381,*C(C*)c1c(ccc(c1)C(=O)OCC)c1ccc(cc1)OCCCCCCCC
P322163,388,*C(C*)c1c(ccc(c1)C(=O)OCCCC)c1ccc(cc1)OCCCCCCCC
P322164,396,*C(C*)c1c(ccc(c1)C(=O)OCCCCCC)c1ccc(cc1)OCCCCCCCC
P322165,369,*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCC)c1ccc(cc1)OCCCCCCCC
P322166,369,*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCCCC)c1ccc(cc1)OCCCCCCCC
P322167,392,*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCCCCCC)c1ccc(cc1)OCCCCCCCC
P322185,398,*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCC)C(=O)Oc1ccc(cc1)OCC
P322186,391,*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCC
P322187,418,*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCC
P322188,416,*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCC
